x,alpha,beta,mu,delta,mpmath,scipy,gnp
-7.894736842105264,0.001,1e-06,-10.0,50.0,5.1396564680147616E-01,5.1396564680147683E-01,5.1396564680147627E-01
-6.842105263157895,0.001,1e-06,-10.0,0.001,9.9989969619647912E-01,3.5929667909915565E+01,9.9989969619647923E-01
-6.842105263157895,0.001,1e-06,-10.0,2.6325263157894736,7.7952333261100049E-01,7.7952333261111395E-01,7.7952333261100049E-01
-6.842105263157895,0.001,1e-06,-10.0,5.264052631578948,6.7288056461643542E-01,6.7288056461349188E-01,6.7288056461643553E-01
-6.842105263157895,0.001,1e-06,-10.0,7.8955789473684215,6.2203313427072648E-01,6.2203313427074070E-01,6.2203313427072648E-01
-6.842105263157895,0.001,1e-06,-10.0,10.527105263157894,5.9370550262228539E-01,5.9370550262228494E-01,5.9370550262228527E-01
-6.842105263157895,0.001,1e-06,-10.0,13.158631578947368,5.7591346338491167E-01,5.7591346338477378E-01,5.7591346338491178E-01
-6.842105263157895,0.001,1e-06,-10.0,15.790157894736842,5.6377024420318944E-01,5.6377024420321975E-01,5.6377024420318944E-01
-6.842105263157895,0.001,1e-06,-10.0,18.42168421052632,5.5497712511484443E-01,5.5497712511916875E-01,5.5497712511484443E-01
-6.842105263157895,0.001,1e-06,-10.0,21.05321052631579,5.4832470254168375E-01,5.4832470254168231E-01,5.4832470254168375E-01
-6.842105263157895,0.001,1e-06,-10.0,23.684736842105263,5.4311993350198129E-01,5.4311993350198151E-01,5.4311993350198129E-01
-6.842105263157895,0.001,1e-06,-10.0,26.31626315789474,5.3893845658673978E-01,5.3893845658645612E-01,5.3893845658673978E-01
-6.842105263157895,0.001,1e-06,-10.0,28.947789473684214,5.3550639831044622E-01,5.3550639831046476E-01,5.3550639831044633E-01
-6.842105263157895,0.001,1e-06,-10.0,31.579315789473686,5.3263931306478096E-01,5.3263931306484369E-01,5.3263931306478085E-01
-6.842105263157895,0.001,1e-06,-10.0,34.210842105263154,5.3020853652112832E-01,5.3020853652115074E-01,5.3020853652112832E-01
-6.842105263157895,0.001,1e-06,-10.0,36.84236842105263,5.2812163008882862E-01,5.2812163009782020E-01,5.2812163008882851E-01
-6.842105263157895,0.001,1e-06,-10.0,39.473894736842105,5.2631049587962042E-01,5.2631049587961343E-01,5.2631049587962031E-01
-6.842105263157895,0.001,1e-06,-10.0,42.10542105263158,5.2472387408994281E-01,5.2472387408993981E-01,5.2472387408994270E-01
-6.842105263157895,0.001,1e-06,-10.0,44.73694736842105,5.2332244982367893E-01,5.2332244982367881E-01,5.2332244982367881E-01
-6.842105263157895,0.001,1e-06,-10.0,47.36847368421052,5.2207557009651584E-01,5.2207557009651673E-01,5.2207557009651573E-01
-6.842105263157895,0.001,1e-06,-10.0,50.0,5.2095898580953381E-01,5.2095898580953448E-01,5.2095898580953381E-01
-5.7894736842105265,0.001,1e-06,-10.0,0.001,9.9992489480139490E-01,5.8823957721694109E-01,9.9992489480139513E-01
-5.7894736842105265,0.001,1e-06,-10.0,2.6325263157894736,8.2297430246346404E-01,8.2297430246357739E-01,8.2297430246346404E-01
-5.7894736842105265,0.001,1e-06,-10.0,5.264052631578948,7.1585467008501624E-01,7.1585467008206538E-01,7.1585467008501635E-01
-5.7894736842105265,0.001,1e-06,-10.0,7.8955789473684215,6.5713919440607205E-01,6.5713919440608604E-01,6.5713919440607227E-01
