alpha,beta,delta,mpmath,scipy,gnp
21.168262586008446,15.578470118678645,4.604787809046179,1.1532963915946609E-15,1.1532963932503415E-15,1.1532963915946672E-15
83.12765219161146,57.059438976550226,92.43956011296595,0.0000000000000000E+00,NAN,0.0000000000000000E+00
6.272729539154254,5.119809365345084,41.60442480191618,4.2021400563439933E-50,4.2118599987346765E-50,4.2021400563440227E-50
82.54895585154219,23.052465628052243,89.26439235115537,3.7644089013904453E-138,NAN,8.1482833650993470E-141
16.451562140143658,3.7810582082491315,24.274399289540526,1.8960562066714660E-06,1.8960562066635494E-06,1.8960562066714658E-06
37.51532450266768,27.97954567233843,59.02934429631583,0.0000000000000000E+00,NAN,0.0000000000000000E+00
31.67449991752987,30.349358008103405,25.549995868158003,1.0149812035760873E-260,0.0000000000000000E+00,1.9720124148962844E-253
69.13401219073884,15.925585721546208,88.24380967481937,1.9262713959063626E-151,NAN,1.6275917736048247E-154
17.858009245559018,10.136892430593894,22.375097732212208,7.5162916101302069E-33,7.5412496855487220E-33,7.5162916101302589E-33
39.62621996553642,21.561857608863857,54.5759365719942,5.6713702991884150E-201,NAN,1.0222897855358153E-203
0.5834536862029865,0.218101468292615,96.64088363820613,2.1663563274162963E-03,2.1663563274162941E-03,2.1663563274162993E-03
26.2502087802974,19.680760948379596,73.00682002281229,6.6839250716485591E-305,NAN,0.0000000000000000E+00
42.119460234081295,5.580947046474437,55.451915189847945,6.9298375689365002E-11,NAN,6.7353709052826037E-51
10.593017749495736,3.94095767738223,36.423155712680696,5.0333143259269449E-14,5.0335653148398308E-14,5.0333143259269563E-14
63.31636144370974,27.302337596634587,52.99982155302265,6.5983981702777501E-167,NAN,5.6094147788142205E-145
38.043046564383346,36.2205479967927,0.3974562240860213,2.8500033969762672E-06,2.8500034927899914E-06,2.8500033969762722E-06
72.5296685136858,49.60559209326792,13.070929096436645,5.2437418197792153E-114,0.0000000000000000E+00,8.3729727908667149E-114
65.38694724082838,46.45984277281049,27.91063120155141,1.0933620286987092E-237,NAN,1.7539624118300910E-237
43.12324365099184,43.071131855179374,4.684797069471455,1.0511809646518222E-85,1.0529119773910822E-85,1.0511809646517386E-85
86.73218324371427,19.716406359244644,23.82407545692582,1.2250419361904079E-25,NAN,1.2250419361904180E-25
63.2138796148992,38.138171245028595,42.11014079666896,3.4584595208887258E-323,NAN,1.0069668043432937E-236
81.0276249362778,8.787151986166004,85.81666563967403,6.7474460071817480E-20,NAN,5.9945432126691951E-26
34.18013059928736,5.5772293602013425,91.9042138183256,2.2419962615913794E-20,NAN,0.0000000000000000E+00
54.36738529755589,37.82532463078404,2.0656648325739573,9.7143183313300660E-16,9.7143183276533805E-16,9.7143183313300798E-16
19.630492214590227,16.201662816116066,45.99035772071588,7.3897331468818502E-173,0.0000000000000000E+00,3.2387212636658425E-173
99.61412287067267,63.30736449541544,68.34942925961157,0.0000000000000000E+00,NAN,0.0000000000000000E+00
24.322303215168407,14.097774352996876,75.23456542236414,1.5919351221983598E-193,NAN,0.0000000000000000E+00
25.687489855243047,20.294387613301446,15.93194111826478,4.1678526219357715E-71,4.2236529965282455E-71,4.1678526219358922E-71
7.319934049024207,6.992915602372546,0.7246527727432364,3.8766331837398792E-03,3.8766331837399690E-03,3.8766331837398814E-03
25.781054096554662,23.83899639583958,24.93883537574688,1.1312820841322873E-174,2.0229790566302774E-175,2.0997245058867411E-175
76.31309012587278,61.67314515879739,31.420695962409845,0.0000000000000000E+00,NAN,0.0000000000000000E+00
69.78965917473745,30.166836214778584,18.717099580212093,4.6699175860550935E-58,NAN,4.6699175860551331E-58
12.868192558504626,9.854479104512967,22.04882235013486,3.2187829547164282E-46,3.2271669084193669E-46,3.2187829547164189E-46
37.62447390430799,8.817846571258876,66.20037287131315,2.5265742621672230E-32,NAN,2.8480939858294968E-211
42.09271854035167,38.01985154185961,22.17366829132169,1.2290106117460384E-237,0.0000000000000000E+00,5.7556094941855456E-234
66.49875965194971,18.631279049846622,18.885494350562997,5.6945199530215461E-24,NAN,5.6945199530215791E-24
45.59344037541184,44.65530709103265,27.08512474366286,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
