alpha,beta,delta,mpmath,scipy,gnp
0.05834536862029866,0.010558357854295942,3.7356448781287432,4.7384445849106682E-01,4.7384445849106682E-01,4.7384445849106677E-01
2.62502087802974,2.1547111844472306,7.502402843575387,2.2384477336823250E-05,2.2384477336823000E-05,2.2384477336823261E-05
4.21194602340813,1.4203685758229287,1.3177503001236153,2.1489873596535264E-01,2.1489873596535275E-01,2.1489873596535264E-01
1.059301774949574,0.729822648839357,3.7178335605735398,7.6630198915570560E-02,7.6630198915570574E-02,7.6630198915570588E-02
6.331636144370974,1.3861147165846157,4.310729179201207,1.2599797936441492E-01,1.2599797936441454E-01,1.2599797936441492E-01
3.804304656438335,1.3378230477720017,9.530002493135557,1.5990816046351820E-02,1.5990816046351879E-02,1.5990816046351830E-02
7.252966851368581,2.7885916636387784,6.843069473419848,2.9325078010791262E-03,2.9325078010791327E-03,2.9325078010791297E-03
6.538694724082837,1.55065633134146,7.109617690345646,5.2162771190369307E-02,5.2162771190369432E-02,5.2162771190369321E-02
4.312324365099184,0.15521485005318628,9.99791145691653,4.0683317569301630E-01,4.0683317569301358E-01,4.0683317569301641E-01
8.673218324371428,6.675502922843717,2.2678643724257554,8.9933096446556234E-05,8.9933096446564718E-05,8.9933096446556275E-05
6.32138796148992,6.0018667931014065,6.035305971378672,2.8627182824809870E-13,2.8627182549390346E-13,2.8627182824809890E-13
8.10276249362778,1.8376689516553129,1.0767061914542764,2.5298315135998267E-01,2.5298315135998278E-01,2.5298315135998267E-01
3.4180130599287364,0.558250613765673,1.6250504919187732,3.5262032664587101E-01,3.5262032664587084E-01,3.5262032664587112E-01
5.43673852975559,1.8914900857628245,6.96130879695415,1.5103340029332130E-02,1.5103340029332120E-02,1.5103340029332137E-02
1.9630492214590227,0.16411183681381755,8.259851678427419,3.6903278958768870E-01,3.6903278958768815E-01,3.6903278958768876E-01
9.961412287067267,6.469273950122672,6.358012316208393,1.9271643494663751E-08,1.9271643494271085E-08,1.9271643494663788E-08
